label,text
ham,Hello how are you?
ham,Meeting at 5 PM today
ham,Project report attached
ham,Can we talk tomorrow?
ham,Please send the notes
ham,Thank you for your help
ham,See you in class tomorrow
ham,Lunch at 1 PM?
ham,Your order has been delivered
ham,Call me when you are free
ham,Good morning have a nice day
ham,The assignment is due next week
ham,Happy birthday to you
ham,Let's meet in the library
ham,I will reach in 10 minutes
spam,Congratulations! You won a free iPhone
spam,Claim your reward now
spam,Click here to get cash prize
spam,You have won a lottery
spam,Win ₹50000 instantly
spam,Exclusive offer for you
spam,Get rich quick by clicking here
spam,Your account has won a prize
spam,Free vacation package waiting
spam,Urgent! Claim your gift card
spam,Limited time offer act now
spam,You are selected as a winner
spam,Earn money from home easily
spam,Get a free smartphone today
spam,Congratulations claim your cash reward
